ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,age,RtoHd=0,RtoHd=5,RtoHd=10,RtoHd=20,RtoHd=30,RtoHd=Max,HtoRd=0,HtoRd=5,HtoRd=10,HtoRd=20,HtoRd=30,HtoRd=Max
131828,2,4,3,3,4,4,4,4,6,53,0.00482897742805144,0.004165639993636838,0.004541761679942469,0.004314014328006266,0.004519679608118832,0.00482897742805144,0.0008938827144121531,0.000518351867643041,0.0010456504198196326,0.0012213064064812151,0.0013165212850945185,0.0013165212850945185
132210,6,5,4,5,4,4,5,3,4,58,0.005137707730251573,0.003889854461257891,0.0049215375550085705,0.004170605035905828,0.0032054782574254537,0.005137707730251573,0.0014514607557750692,0.0013551064706565086,0.0015013099437068966,0.000937886248966735,0.0016790326119463517,0.0016790326119463517
132531,6,6,6,6,6,7,7,6,7,60,0.0035488457804581097,0.003267374820182134,0.0031812091835238254,0.003616341994169714,0.0034917131370318932,0.003616341994169714,0.0017258424451981336,0.0013300876074792134,0.0020702279941516855,0.0018199920437487194,0.0018377963981115464,0.0020702279941516855
132755,6,6,6,6,7,6,6,6,7,46,0.0036342005026690494,0.00437347467756688,0.0027063277680382525,0.0023225240742625886,0.0026832710151708516,0.00437347467756688,0.0006892441214633171,0.000509644299499401,0.00067601537735551,0.0004737704121778874,0.0007305049106377526,0.0007305049106377526
133947,7,7,7,7,7,7,7,6,7,22,0.0018061843510650544,0.001510848885352134,0.0012855223550217731,0.0008512676340022285,0.0005894556659540306,0.0018061843510650544,0.0010544929181428575,0.0003127599907173373,0.0005465959698149891,0.0008524723989223881,0.0004771307923002732,0.0010544929181428575
140304,5,5,5,5,5,5,5,5,5,65,0.0033753463519237137,0.003469011512834408,0.0028431935981835244,0.0026013878612435315,0.002131002191063658,0.003469011512834408,0.0008643649967829958,0.0005254108942887026,0.0005893261643430403,0.000585854415337983,0.0006719618645172343,0.0008643649967829958
140757,6,5,5,5,5,6,5,4,6,41,0.002779150307011924,0.002775981162951302,0.0024152270154470523,0.002119228530344519,0.002166252102629107,0.002779150307011924,0.006705372160747958,0.004905296932952163,0.006624710151265534,0.0065828956770715985,0.006088018928302907,0.006705372160747958
140959,6,5,5,4,6,5,5,4,3,47,,,,,,,,,,,,
141359,7,7,7,7,7,7,7,7,7,11,0.0016960937465035908,0.001921567288875159,0.001716502895128258,0.0018827814993945813,0.001664889612844056,0.001921567288875159,0.0022556364502381854,0.002388521589409276,0.0024284579205415824,0.001815542765260858,0.001965405139764065,0.0024284579205415824
142150,6,6,6,5,6,6,7,6,7,51,0.0025927388817753583,0.0025785394907444914,0.0020071086086841383,0.002270923300547234,0.002246296615297294,0.0025927388817753583,-6.67720026447105e-05,0.0001323566467313908,-9.83775453557989e-05,-0.00026988912308389956,-0.0002856719665367269,0.0001323566467313908
142337,7,7,7,7,5,6,5,7,7,79,0.002963426431359051,0.0035695990771672514,0.00251896532381668,0.0017304230584710423,0.001753445445928481,0.0035695990771672514,0.0009794589499868556,0.0009941239701549698,0.0009105549357413256,0.0006228954285987243,0.000537123864087552,0.0009941239701549698
142941,5,3,4,3,3,4,5,4,5,45,0.002965174532971959,0.0030357441383739303,0.002338137060377443,0.0018073439130353863,0.00164510391911743,0.0030357441383739303,0.0012857564587994696,0.0008465260959094056,0.001268790013890131,0.0012221128961361627,0.0009415154454809338,0.0012857564587994696
143127,6,3,4,4,5,5,5,3,4,83,0.002837986904742462,0.003051954964725989,0.0026914057623534937,0.002854455209448603,0.003016882872528215,0.003051954964725989,0.002107683804776439,0.001673464450793638,0.00206670111220586,0.0021342482398138962,0.00201108853375509,0.0021342482398138962
143640,4,5,5,5,5,5,5,5,6,23,0.002293767133303093,0.0023748628814724837,0.0006152593374848525,0.0010240085148875977,0.000923946537906617,0.0023748628814724837,0.00047401353898512966,0.00033901535980340736,0.0002453240402143786,0.00023211378687348905,0.0006210269760322795,0.0006210269760322795
143819,4,7,5,6,6,5,5,4,5,53,0.00195682576443279,0.0013028395460809028,0.0012117349362579244,0.0009691955350163983,0.0012392138722070456,0.00195682576443279,0.0016650699027788152,0.001395324245687557,0.0015715756194438768,0.0017292595603548566,0.0016800592658664515,0.0017292595603548566
144033,6,6,6,6,5,6,6,6,5,49,0.004210140196575174,0.003490786103955257,0.004265119451481891,0.0033971112880966103,0.003449562995490707,0.004265119451481891,0.002784694075556704,0.0022674318446240793,0.002425949643716341,0.0017525596082496042,0.0023457398981875377,0.002784694075556704
145231,3,4,3,3,2,4,4,3,6,62,,,,,,,,,,,,
150548,2,4,3,3,3,4,3,4,5,53,0.0010561254759567928,0.0012468387754072108,0.0008319368613526334,0.000491984189377459,0.0003190457997671592,0.0012468387754072108,0.0017240980126128624,0.0012478561390562026,0.001892814029390899,0.0015079044018999621,0.0014750251967393657,0.001892814029390899
150943,7,5,3,3,4,5,4,4,4,52,0.0034428685088402355,0.00311095083355184,0.0030786447683210927,0.002717220140835308,0.002287707992102983,0.0034428685088402355,-2.7434576560847468e-05,-8.807185525672168e-05,-0.00015146044672120773,-0.0004497672606275094,-8.03206720095817e-05,-2.7434576560847468e-05
151304,6,6,3,5,5,5,5,5,6,50,0.0024164915361414296,0.0024842389422231603,0.002463482789097471,0.002565553368655049,0.0026348684742216744,0.0026348684742216744,0.0034038310331441224,0.002985470381971833,0.0033677320489542417,0.003271276194686701,0.0030198092793587428,0.0034038310331441224
151633,5,5,5,6,6,4,5,5,5,58,4.973214801995418e-05,0.00038751995500696523,0.0001610936955802611,-8.941076430191153e-05,-8.988283803113006e-05,0.00038751995500696523,0.0030115846136109514,0.0026893320830462253,0.002383891751345124,0.0024793062877200844,0.002644694269520964,0.0030115846136109514
151743,7,7,7,7,7,4,7,7,7,61,0.0019544675917205767,0.0017554611483225901,0.001997290602996693,0.0015142340167162427,0.0018809727724523606,0.001997290602996693,0.003078723455690602,0.0022952183576249174,0.003174523355218728,0.0031954525974207115,0.0028256484685338368,0.0031954525974207115
152219,3,3,3,3,3,4,4,4,4,54,0.0009738014952535012,0.0020608502086083558,0.0011274314744743608,0.0010391055556502327,0.0011687502826805973,0.0020608502086083558,0.0009179636972681537,0.0010614036799995175,0.0008888218156465344,0.0008110354587225199,0.0005355892055437517,0.0010614036799995175
152435,5,4,5,5,4,4,4,5,6,62,0.002681590322305971,0.0027853517253694227,0.002727915788041102,0.0027017925849635027,0.002470341401120235,0.0027853517253694227,0.0029848191542737323,0.0027348894472946084,0.00299452987324611,0.0029144693903808694,0.002970424819258133,0.00299452987324611
152752,6,6,6,5,5,6,6,6,6,38,,,,,,,,,,,,
152902,6,6,7,7,7,7,7,6,7,22,0.0020231340331958725,0.00155575310774414,0.002009299878224291,0.00204362367541,0.0020278549364930454,0.00204362367541,0.0016742197466483866,0.0009442227668658987,0.0017333974995423773,0.0014077990891674386,0.001312743800703009,0.0017333974995423773
153433,2,5,2,2,2,3,2,2,4,34,0.0004769864218413522,0.000423306395023082,0.00029793458759175273,0.00028966032794297547,0.00025298718981203727,0.0004769864218413522,0.004196158490241464,0.004146333601808938,0.004181863120150231,0.004609142499330865,0.0044932330343163684,0.004609142499330865
154457,5,4,5,5,5,5,6,5,7,26,0.0031903481200278305,0.003152402062749249,0.002814155173139543,0.0024626950684691895,0.0024860400748972777,0.0031903481200278305,8.077129726113963e-05,0.0005001702303170097,0.0005305153285557473,0.0004592202450118821,0.000432774133783953,0.0005305153285557473
155021,6,7,6,7,7,7,7,6,7,25,0.002603616877816739,0.0018754147775614793,0.001921563672915072,0.0017057393133455,0.0017681248198508914,0.002603616877816739,0.0011121804563066773,0.0010263008982455135,0.0012407691560126777,0.0014214848170106542,0.0012632302903698989,0.0014214848170106542
155115,5,4,5,5,5,3,5,3,5,53,0.0021982987164707035,0.0016795941696881034,0.0022317591814746685,0.0022566223668947227,0.002333711395339777,0.002333711395339777,0.003818968920617505,0.004255944491337038,0.003978146352598744,0.003984423283631577,0.004087573913634457,0.004255944491337038
155638,4,4,5,6,5,4,5,6,6,51,0.004153643681603758,0.003258832353707053,0.003222099605184159,0.003382681807893473,0.0037409889226530657,0.004153643681603758,0.0006782839772132565,0.0010131981504007959,0.0008355862395350577,0.0005179863938923335,0.0006721146587180815,0.0010131981504007959
160347,5,4,5,6,6,6,6,4,7,29,0.0036856707076237116,0.004422960593794101,0.003635591422005202,0.003076375887601235,0.0028353594985470743,0.004422960593794101,0.001803049403252821,0.0014516377893362131,0.0018688146789020976,0.0014887758593825628,0.0010871907752237897,0.0018688146789020976
161440,4,7,5,5,5,4,4,4,6,76,0.0026996238695045083,0.002219293557194746,0.0023527571412522708,0.0020811164657784653,0.0018507597924002361,0.0026996238695045083,0.002564516510495829,0.0024356833077364692,0.002260541628668733,0.0023997140998723854,0.0025470827354407977,0.002564516510495829
162150,7,7,5,7,6,7,7,5,7,31,0.002446838333066026,0.002447693138750817,0.0018391709473460915,0.00161301161140881,0.0014167320286565532,0.002447693138750817,0.00343670997252854,0.003711727585591018,0.003928908580090207,0.0035776093144976873,0.003596464073130967,0.003928908580090207
162755,7,7,7,7,7,7,5,6,7,49,0.0010793440880837446,0.0013987368801638977,0.0012270297499109573,0.0012946087292151631,0.0014541313536359235,0.0014541313536359235,0.00239775404838638,0.002436594229608846,0.0025734787686541027,0.002189364341701139,0.002353668916111995,0.0025734787686541027
163843,5,7,7,5,6,4,3,3,7,49,0.002445229109385605,0.0021894088794971456,0.0015491144237138599,0.0013655372621675932,0.0011764683107373664,0.002445229109385605,0.0009222500587546811,0.0013173440216827093,0.0008538681050855867,0.0012161330949060911,0.0013495195120099002,0.0013495195120099002
164521,5,5,6,6,6,6,5,5,6,42,0.002041009709324526,0.00140353407504068,0.0018761518668323207,0.0018262964513536817,0.001656096767949422,0.002041009709324526,0.0017768846361549961,0.0021030752202678693,0.0018072135860783822,0.0022149047198020133,0.0023071168508567164,0.0023071168508567164
164627,5,7,6,5,6,6,6,5,7,56,0.004235669404221043,0.002491592964211864,0.0035484235268299358,0.003071873145977455,0.003091306383798176,0.004235669404221043,0.0025775238586723814,0.0014797458233981597,0.002342145171412069,0.002823862200854621,0.0019278868823083828,0.002823862200854621
165308,5,6,2,2,3,6,4,4,6,53,0.002806697695148852,0.002476208858658957,0.002585875045544195,0.002272065153638758,0.002080433276483107,0.002806697695148852,0.0007136222958521454,0.0009862605794624946,0.0005836742017066854,0.0006230209046181878,0.0007093359372403185,0.0009862605794624946
171118,6,6,7,6,5,6,7,6,6,22,0.0022248955956167826,0.0020368723254112764,0.0012748121279810842,0.001248209456061411,0.0009156441768258805,0.0022248955956167826,0.002166797750407623,0.0011377573972896071,0.002297770353585249,0.0020237029821319474,0.0022825093956679865,0.002297770353585249
